"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
1.462,0.056,7.6638,"Otto Matic",20085989," 85989 (1999 JD6)",2460600.5,0.6329,0.8831,130.15,309.25,338.43,303,17.07
0.451,0.095,6.538,"Otto Matic",20085990," 85990 (1999 JV6)",2460600.5,0.3111,1.008,124.30,235.57,312.19,370,5.36
2.22,0.14,122.2,"Otto Matic",20086039," 86039 (1999 NC43)",2460600.5,0.5789,1.76,311.62,120.81,217.35,853,7.13
0.802,0.301,3.0239,"Otto Matic",20086819," 86819 (2000 GK137)",2460600.5,0.5059,1.995,164.88,150.30,212.48,1.03e+03,10.06
,,2.5712,"Otto Matic",20087684," 87684 (2000 SY2)",2460600.5,0.6428,0.8587,162.01,47.81,182.98,291,19.22
0.800,0.252,38.56,"Otto Matic",20088254," 88254 (2001 FM129)",2460600.5,0.6296,1.182,272.11,140.23,166.57,470,1.52
,,6.73,"Otto Matic",20088959," 88959 (2001 TZ44)",2460600.5,0.5635,1.724,38.96,114.92,18.09,827,53.83
,,14.39,"Otto Matic",20089136," 89136 (2001 US16)",2460600.5,0.2530,1.356,175.90,67.20,332.59,577,1.91
5.067,0.079,2.6149,"Otto Matic",20089830," 89830 (2002 CE)",2460600.5,0.5070,2.078,19.90,5.84,253.27,1.09e+03,43.65
,,3.265,"Otto Matic",20089958," 89958 (2002 LY45)",2460600.5,0.8864,1.642,188.16,222.94,186.10,768,9.91
1.407,0.224,5.527,"Otto Matic",20089959," 89959 (2002 NT7)",2460600.5,0.5284,1.735,132.00,300.71,206.61,835,42.36
2.233,0.294,7.879,"Otto Matic",20090075," 90075 (2002 VU94)",2460600.5,0.5755,2.136,226.73,30.77,128.37,1.14e+03,8.91
0.572,0.493,505.,"Otto Matic",20090403," 90403 (2003 YE45)",2460600.5,0.2802,1.234,286.23,306.85,341.08,501,19.01
0.968,0.062,43.58,"Otto Matic",20090416," 90416 (2003 YK118)",2460600.5,0.4924,1.695,326.76,233.29,117.11,806,7.83
1.115,0.429,19.7,"Otto Matic",20099248," 99248 (2001 KY66)",2460600.5,0.5073,1.867,284.11,61.58,359.76,932,10.61
0.34,0.35,30.56,"Davide Farnocchia",20099942," 99942 Apophis (2004 MN4)",2460600.5,0.1911,0.9224,203.90,126.67,227.76,324,3.34
,,12.906,"Otto Matic",20100085,"100085 (1992 UY4)",2460600.5,0.6190,2.651,305.18,42.24,158.29,1.58e+03,2.64
,,,"Otto Matic",20101869,"101869 (1999 MM)",2460600.5,0.6109,1.624,110.92,268.84,52.69,756,4.77
0.482,0.044,4.296061,"Davide Farnocchia",20101955,"101955 Bennu (1999 RQ36)",2455562.5,0.2037,1.126,2.06,66.22,101.70,437,6.03
1.282,0.246,9.849,"Otto Matic",20103067,"103067 (1999 XA143)",2460600.5,0.5812,1.844,116.52,104.10,289.32,914,38.56
3.006,0.178,,"Otto Matic",20111253,"111253 (2001 XU10)",2460600.5,0.4394,1.754,310.15,6.97,62.23,848,42.02
,,2.3886,"Otto Matic",20136617,"136617 (1994 CC)",2460600.5,0.4169,1.638,268.51,24.92,103.64,766,4.68
,,13,"Otto Matic",20136618,"136618 (1994 CN2)",2460600.5,0.3948,1.573,99.34,248.28,340.11,721,1.44
,,17.71,"Otto Matic",20136795,"136795 Tatsunokingo (1997 BQ)",2460600.5,0.4780,1.747,50.13,147.57,340.73,843,10.99
,,2.7653,"Otto Matic",20136849,"136849 (1998 CS1)",2460600.5,0.5785,1.492,110.68,97.80,204.65,665,7.79
,,5.041,"Otto Matic",20137108,"137108 (1999 AN10)",2460600.5,0.5621,1.459,314.34,268.33,177.03,643,39.93
,,,"Otto Matic",20137120,"137120 (1999 BJ8)",2460600.5,0.5490,1.901,339.46,222.00,272.88,957,8.97
,,,"Otto Matic",20137126,"137126 (1999 CF9)",2460600.5,0.6012,1.772,156.87,90.54,280.89,862,5.55
,,,"Otto Matic",20137427,"137427 (1999 TF211)",2460600.5,0.6116,2.44,347.91,162.38,132.56,1.39e+03,39.49
,,4.243,"Otto Matic",20138095,"138095 (2000 DK79)",2460600.5,0.4145,1.777,43.46,2.58,220.12,865,60.69
0.754,0.449,2.586,"Otto Matic",20138127,"138127 (2000 EE14)",2460600.5,0.5331,0.6618,155.75,197.86,76.31,197,26.46
,,13.324,"Otto Matic",20138175,"138175 (2000 EE104)",2460600.5,0.2932,1.004,25.50,280.87,52.66,367,5.24
,,3.9077,"Otto Matic",20138404,"138404 (2000 HA24)",2460600.5,0.3186,1.139,309.35,142.20,139.80,444,2.16
,,2.6835,"Otto Matic",20138524,"138524 (2000 OJ8)",2460600.5,0.5678,2.358,226.58,181.27,207.91,1.32e+03,6.25
