"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
4.626,0.227,2.7361,"Otto Matic",20006455,"  6455 (1992 HE)",2460600.5,0.5728,2.24,26.89,262.75,230.08,1.22e+03,37.34
,,2.50129,"Otto Matic",20006456,"  6456 Golombek (1992 OM)",2460600.5,0.4090,2.193,313.57,347.10,335.09,1.19e+03,8.22
0.53,0.151,6.026,"Otto Matic",20006489,"  6489 Golevka (1991 JX)",2460600.5,0.6151,2.484,209.42,68.66,151.88,1.43e+03,2.27
,,2.69,"Otto Matic",20006491,"  6491 (1991 OA)",2460600.5,0.5917,2.506,301.00,324.73,142.22,1.45e+03,6.00
,,5.958,"Otto Matic",20006569,"  6569 Ondaatje (1993 MO)",2460600.5,0.2209,1.626,111.46,167.30,29.09,757,22.64
1.408,0.158,2.5568,"Otto Matic",20006611,"  6611 (1993 VW)",2460600.5,0.4846,1.696,230.77,281.59,315.03,807,8.70
0.498,0.340,2.5057,"Otto Matic",20007025,"  7025 (1993 QA)",2460600.5,0.3150,1.476,146.59,323.45,14.75,655,12.61
1.298,0.260,2.679,"Otto Matic",20007088,"  7088 Ishtar (1992 AA)",2460600.5,0.3903,1.981,102.61,354.78,271.76,1.02e+03,8.30
6.319,0.046,,"Otto Matic",20007092,"  7092 Cadmus (1992 LC)",2460600.5,0.6935,2.545,56.72,94.77,30.55,1.48e+03,17.79
,,,"Otto Matic",20007236,"  7236 (1987 PA)",2460600.5,0.5598,2.727,308.24,338.24,106.90,1.64e+03,16.37
1.8,0.448,2.58988,"Otto Matic",20007335,"  7335 (1989 JA)",2460600.5,0.4846,1.772,61.28,232.27,349.17,862,15.17
,,4.307,"Otto Matic",20007336,"  7336 Saunders (1989 RS1)",2460600.5,0.4815,2.306,174.46,181.56,5.75,1.28e+03,7.20
0.982,0.235,4.2096,"Otto Matic",20007341,"  7341 (1991 VK)",2460600.5,0.5061,1.841,294.73,173.48,37.89,913,5.41
1.921,0.069,3.58264,"Otto Matic",20007350,"  7350 (1993 VA)",2460600.5,0.3911,1.356,133.05,336.70,183.75,577,7.26
,,125.8,"Otto Matic",20007358,"  7358 Oze (1995 YA3)",2460600.5,0.5020,2.199,265.42,92.31,351.77,1.19e+03,4.66
,,5.54,"Otto Matic",20007474,"  7474 (1992 TC)",2460600.5,0.2923,1.565,88.60,275.65,129.54,715,7.09
,,35.9,"Otto Matic",20007480,"  7480 Norwan (1994 PC)",2460600.5,0.3171,1.568,124.36,256.87,98.18,717,9.45
1.052,0.277,2.5999,"Otto Matic",20007482,"  7482 (1994 PC1)",2460600.5,0.3294,1.349,117.85,47.49,246.56,572,33.47
,,42.2,"Otto Matic",20007753,"  7753 (1988 XB)",2460600.5,0.4817,1.467,73.39,280.08,95.85,649,3.12
1.602,0.075,2.3896,"Otto Matic",20007822,"  7822 (1991 CS)",2460600.5,0.1646,1.123,156.84,249.45,182.35,435,37.12
0.784,0.181,,"Otto Matic",20007839,"  7839 (1994 ND)",2460600.5,0.5187,2.165,102.51,228.32,167.97,1.16e+03,27.12
2.298,0.257,2.337,"Otto Matic",20007888,"  7888 (1993 UC)",2460600.5,0.6631,2.438,165.89,323.01,24.14,1.39e+03,26.07
1.680,0.452,2.741,"Otto Matic",20007889,"  7889 (1994 LX)",2460600.5,0.3463,1.262,111.26,349.18,337.10,518,36.91
,,7.456,"Otto Matic",20007977,"  7977 (1977 QQ5)",2460600.5,0.4664,2.226,134.13,248.11,53.30,1.21e+03,25.17
2.3,,8.4,"Otto Matic",20008013,"  8013 Gordonmoore (1990 KA)",2460600.5,0.4316,2.202,105.36,147.20,190.80,1.19e+03,7.59
0.7,,50.09,"Otto Matic",20008014,"  8014 (1990 MF)",2460600.5,0.4560,1.747,209.84,114.73,291.48,844,1.87
,,7.283,"Otto Matic",20008034,"  8034 Akka (1992 LR)",2460600.5,0.4090,1.83,232.82,68.19,5.05,904,2.02
,,,"Otto Matic",20008035,"  8035 (1992 TB)",2460600.5,0.4624,1.342,185.61,6.12,13.70,568,28.30
,,12.98,"Otto Matic",20008037,"  8037 (1993 HO1)",2460600.5,0.4174,1.987,22.38,105.73,131.38,1.02e+03,5.91
,,7.111,"Otto Matic",20008176,"  8176 (1991 WA)",2460600.5,0.6432,1.575,66.51,241.88,260.84,722,39.59
1.859,0.154,23.949,"Otto Matic",20008201,"  8201 (1994 AH2)",2460600.5,0.7061,2.539,164.09,25.13,199.52,1.48e+03,9.54
,,,"Otto Matic",20008507,"  8507 (1991 CB1)",2460600.5,0.5944,1.687,317.41,345.77,9.42,800,14.58
1.568,0.217,4.845,"Otto Matic",20008566,"  8566 (1996 EN)",2460600.5,0.4302,1.506,164.12,125.13,90.11,675,37.97
2.928,0.156,8.7573,"Otto Matic",20008567,"  8567 (1996 HW1)",2460600.5,0.4493,2.045,177.10,177.30,179.54,1.07e+03,8.45
,,50.6,"Otto Matic",20008709,"  8709 Kadlu (1994 JF1)",2460600.5,0.4925,2.526,118.97,153.85,182.31,1.47e+03,3.53
,,,"Otto Matic",20009058,"  9058 (1992 JB)",2460600.5,0.3596,1.557,218.30,307.06,284.90,709,16.09
1.127,0.088,15.13,"Otto Matic",20009162,"  9162 Kwiila (1987 OA)",2460600.5,0.5956,1.497,179.99,235.83,77.31,669,9.01
,,,"Otto Matic",20009172,"  9172 Abhramu (1989 OB)",2460600.5,0.5527,2.709,287.57,74.17,318.40,1.63e+03,7.84
1.617,0.332,,"Otto Matic",20009202,"  9202 (1993 PB)",2460600.5,0.6078,1.424,315.89,212.36,225.05,621,40.80
3.698,0.155,97.1,"Otto Matic",20009400,"  9400 (1994 TW1)",2460600.5,0.5809,2.587,3.36,62.14,51.21,1.52e+03,36.00
1.0,0.3,3.045,"Otto Matic",20009856,"  9856 (1991 EE)",2460600.5,0.6258,2.242,168.11,116.18,314.61,1.23e+03,9.83
,,6.712,"Otto Matic",20009950,"  9950 ESA (1990 VB)",2460600.5,0.5327,2.438,253.45,103.60,331.06,1.39e+03,14.60
0.938,0.318,7.319,"Otto Matic",20010115," 10115 (1992 SK)",2460600.5,0.3250,1.249,8.89,233.69,84.54,510,15.32
,,49.2892,"Otto Matic",20010145," 10145 (1994 CK1)",2460600.5,0.6326,1.901,328.38,27.45,348.39,957,4.55
,,2.965,"Otto Matic",20010150," 10150 (1994 PN)",2460600.5,0.5440,2.375,112.97,234.04,67.70,1.34e+03,45.95
0.829,0.372,,"Otto Matic",20010165," 10165 (1995 BL2)",2460600.5,0.5037,1.235,312.42,348.46,91.71,501,23.90
,,19.164,"Otto Matic",20010302," 10302 (1989 ML)",2460600.5,0.1370,1.273,104.27,183.65,206.92,524,4.38
,,,"Otto Matic",20010563," 10563 Izhdubar (1993 WD)",2460600.5,0.2662,1.007,56.56,132.20,106.82,369,63.47
0.533,0.645,9.876,"Otto Matic",20010636," 10636 (1998 QK56)",2460600.5,0.5129,1.884,172.93,286.31,359.24,945,13.58
