"diameter","albedo","rot_per","producer","spkid","full_name","epoch","e","a","om","w","ma","per","i"
1.6,,18.1,"Davide Farnocchia",1000041,"  103P/Hartley 2",2460146.5,0.6938,3.475,219.75,181.30,347.29,2.37e+03,13.61
2.0,,,"Davide Farnocchia",1000056,"  104P/Kowal 2",2459486.5,0.6655,3.208,207.21,227.25,342.05,2.1e+03,5.70
26,,,"M.S.W. Keesey",1000140,"  109P/Swift-Tuttle",2450000.5,0.9632,26.09,139.38,152.98,7.63,4.87e+04,113.45
,,,"M.S.W. Keesey",1000156,"  122P/de Vico",2450280.5,0.9627,17.68,79.62,13.00,3.77,2.72e+04,85.38
,,,"Davide Farnocchia",1003394,"  141P/Machholz 2",2458696.5,0.7367,3.055,241.88,153.62,267.16,1.95e+03,13.98
,,,"Davide Farnocchia",1000152,"  141P/Machholz 2-A",2450594.5,0.7505,3.01,246.16,149.24,184.96,1.91e+03,12.79
,,,"Davide Farnocchia",1000279,"  141P/Machholz 2-D",2451425.5,0.7511,3.009,246.14,149.29,341.69,1.91e+03,12.81
,,,"Otto Matic",1003881,"  141P/Machholz 2-I",2459206.5,0.7365,3.066,241.82,153.57,1.31,1.96e+03,13.95
,,,"Shantanu Naidu",1000096,"  157P/Tritton",2458876.5,0.6275,3.368,289.43,157.44,213.80,2.26e+03,11.18
,,,"Otto Matic",1000042,"  161P/Hartley-IRAS",2453190.5,0.8351,7.73,1.40,47.09,343.87,7.85e+03,95.70
,,32.853,"Otto Matic",1000525,"  162P/Siding Spring",2455496.5,0.5961,3.053,31.24,356.32,42.97,1.95e+03,27.82
,,8.369,"Otto Matic",1001656,"  169P/NEAT",2455087.5,0.7668,2.606,176.19,217.96,341.65,1.54e+03,11.30
,,,"Otto Matic",1000909,"  177P/Barnard",2453849.5,0.9544,24.3,272.07,60.45,358.96,4.38e+04,31.22
,,,"Ryan S. Park",1000136,"  181P/Shoemaker-Levy 6",2456908.5,0.7073,3.839,37.68,333.80,11.75,2.75e+03,16.98
,,,"Otto Matic",1000380,"  182P/LONEOS",2453241.5,0.6663,2.931,75.10,51.43,184.06,1.83e+03,16.91
,,,"Shantanu Naidu",1000349,"  185P/Petriew",2457129.5,0.6988,3.1,214.10,181.94,176.38,1.99e+03,14.00
,,,"Otto Matic",1000400,"  189P/NEAT",2454804.5,0.5976,2.918,282.20,15.31,98.30,1.82e+03,20.40
,,,"Otto Matic",1000441,"  197P/LINEAR",2454004.5,0.6299,2.867,66.40,188.75,238.00,1.77e+03,25.56
,,,"Otto Matic",1000921,"  206P/Barnard-Boattini",2453922.5,0.6485,3.234,204.38,181.36,217.44,2.12e+03,33.20
,,,"Otto Matic",1000339,"  207P/NEAT",2459478.5,0.7591,3.872,198.34,273.00,248.36,2.78e+03,10.19
,,,"Otto Matic",1000487,"  209P/LINEAR",2456081.5,0.6819,2.949,62.88,152.64,224.42,1.85e+03,21.33
,,,"Otto Matic",1000440,"  210P/Christensen",2455230.5,0.8317,3.176,93.87,345.77,71.41,2.07e+03,10.22
,,,"Otto Matic",1000345,"  217P/LINEAR",2455440.5,0.6896,3.944,125.62,246.77,44.92,2.86e+03,12.88
,,,"Otto Matic",1000530,"  222P/LINEAR",2454620.5,0.7268,2.857,7.13,345.43,267.12,1.76e+03,5.15
